elapsed_s,timestamp_utc,gpu_uuid,sm_clock_mhz,memory_clock_mhz,temperature_c,power_draw_w,utilization_pct,cumulative_matmuls,interval_throughput_matmuls_per_s
275.04,2026-09-18T22:40:04.420660+00:00,GPU-00b80185-a51c-ac5b-84b1-c291bcf5025f,2385.0,10251.0,75.0,449.84,100.0,38937,136.6323020436064
280.039,2026-09-18T22:40:09.419346+00:00,GPU-00b80185-a51c-ac5b-84b1-c291bcf5025f,2370.0,10251.0,74.0,449.63,100.0,39619,136.4358663049192
285.041,2026-09-18T22:40:14.422012+00:00,GPU-00b80185-a51c-ac5b-84b1-c291bcf5025f,2385.0,10251.0,75.0,449.96,100.0,40303,136.72711023843453
290.043,2026-09-18T22:40:19.423747+00:00,GPU-00b80185-a51c-ac5b-84b1-c291bcf5025f,2385.0,10251.0,75.0,449.99,100.0,40986,136.5526235156679
295.042,2026-09-18T22:40:24.422481+00:00,GPU-00b80185-a51c-ac5b-84b1-c291bcf5025f,2385.0,10251.0,75.0,449.77,100.0,41669,136.6345764015657
300.043,2026-09-18T22:40:29.423079+00:00,GPU-00b80185-a51c-ac5b-84b1-c291bcf5025f,2385.0,10251.0,74.0,449.61,100.0,42353,136.78362237568925
305.041,2026-09-18T22:40:34.421443+00:00,GPU-00b80185-a51c-ac5b-84b1-c291bcf5025f,2370.0,10251.0,75.0,449.58,100.0,43035,136.44463895167576
310.042,2026-09-18T22:40:39.422585+00:00,GPU-00b80185-a51c-ac5b-84b1-c291bcf5025f,2370.0,10251.0,74.0,449.89,100.0,43718,136.56883304429292
315.032,2026-09-18T22:40:44.412807+00:00,GPU-00b80185-a51c-ac5b-84b1-c291bcf5025f,2385.0,10251.0,75.0,449.3,100.0,44400,136.6672606003036
320.039,2026-09-18T22:40:49.419675+00:00,GPU-00b80185-a51c-ac5b-84b1-c291bcf5025f,2400.0,10251.0,75.0,449.61,100.0,45083,136.41263972879656
325.072,2026-09-18T22:40:54.452917+00:00,GPU-00b80185-a51c-ac5b-84b1-c291bcf5025f,2370.0,10251.0,74.0,449.64,100.0,45770,136.49253039264127
330.04,2026-09-18T22:40:59.420904+00:00,GPU-00b80185-a51c-ac5b-84b1-c291bcf5025f,2370.0,10251.0,74.0,449.87,100.0,46449,136.67509385237827
335.04,2026-09-18T22:41:04.420476+00:00,GPU-00b80185-a51c-ac5b-84b1-c291bcf5025f,2385.0,10251.0,75.0,449.97,100.0,47132,136.61166033134427
340.036,2026-09-18T22:41:09.416769+00:00,GPU-00b80185-a51c-ac5b-84b1-c291bcf5025f,2385.0,10251.0,75.0,449.58,100.0,47814,136.50121316264529
345.04,2026-09-18T22:41:14.420464+00:00,GPU-00b80185-a51c-ac5b-84b1-c291bcf5025f,2385.0,10251.0,74.0,449.83,100.0,48497,136.4991138332169
350.034,2026-09-18T22:41:19.414098+00:00,GPU-00b80185-a51c-ac5b-84b1-c291bcf5025f,2370.0,10251.0,75.0,449.79,100.0,49179,136.5739449534276
355.035,2026-09-18T22:41:24.415529+00:00,GPU-00b80185-a51c-ac5b-84b1-c291bcf5025f,2385.0,10251.0,75.0,450.05,100.0,49862,136.56088403556817
360.035,2026-09-18T22:41:29.415661+00:00,GPU-00b80185-a51c-ac5b-84b1-c291bcf5025f,2370.0,10251.0,74.0,449.76,100.0,50545,136.59638505012023
365.041,2026-09-18T22:41:34.421772+00:00,GPU-00b80185-a51c-ac5b-84b1-c291bcf5025f,2385.0,10251.0,74.0,449.74,100.0,51228,136.43327981653889
370.035,2026-09-18T22:41:39.415343+00:00,GPU-00b80185-a51c-ac5b-84b1-c291bcf5025f,2385.0,10251.0,75.0,449.65,100.0,51910,136.57558817903916
375.037,2026-09-18T22:41:44.417186+00:00,GPU-00b80185-a51c-ac5b-84b1-c291bcf5025f,2385.0,10251.0,75.0,449.61,100.0,52592,136.34973565071508
380.034,2026-09-18T22:41:49.414820+00:00,GPU-00b80185-a51c-ac5b-84b1-c291bcf5025f,2385.0,10251.0,75.0,449.71,100.0,53275,136.66467804573077
385.036,2026-09-18T22:41:54.416265+00:00,GPU-00b80185-a51c-ac5b-84b1-c291bcf5025f,2370.0,10251.0,75.0,449.59,100.0,53958,136.56049995457056
390.04,2026-09-18T22:41:59.420680+00:00,GPU-00b80185-a51c-ac5b-84b1-c291bcf5025f,2400.0,10251.0,74.0,449.81,100.0,54641,136.47952016083062
395.037,2026-09-18T22:42:04.417436+00:00,GPU-00b80185-a51c-ac5b-84b1-c291bcf5025f,2385.0,10251.0,74.0,449.76,100.0,55323,136.4885712130374
400.038,2026-09-18T22:42:09.418510+00:00,GPU-00b80185-a51c-ac5b-84b1-c291bcf5025f,2370.0,10251.0,75.0,450.03,100.0,56006,136.57063000005243
405.039,2026-09-18T22:42:14.419405+00:00,GPU-00b80185-a51c-ac5b-84b1-c291bcf5025f,2370.0,10251.0,75.0,449.8,100.0,56689,136.57557838349638
410.034,2026-09-18T22:42:19.414269+00:00,GPU-00b80185-a51c-ac5b-84b1-c291bcf5025f,2385.0,10251.0,74.0,449.68,100.0,57371,136.54022191807985
415.034,2026-09-18T22:42:24.414844+00:00,GPU-00b80185-a51c-ac5b-84b1-c291bcf5025f,2385.0,10251.0,75.0,449.76,100.0,58054,136.58429101419802
420.035,2026-09-18T22:42:29.415192+00:00,GPU-00b80185-a51c-ac5b-84b1-c291bcf5025f,2370.0,10251.0,75.0,449.73,100.0,58737,136.59049081246442
425.039,2026-09-18T22:42:34.419838+00:00,GPU-00b80185-a51c-ac5b-84b1-c291bcf5025f,2370.0,10251.0,75.0,449.52,100.0,59421,136.6730147508421
430.036,2026-09-18T22:42:39.416868+00:00,GPU-00b80185-a51c-ac5b-84b1-c291bcf5025f,2385.0,10251.0,75.0,449.53,100.0,60102,136.28099586164566
435.036,2026-09-18T22:42:44.416746+00:00,GPU-00b80185-a51c-ac5b-84b1-c291bcf5025f,2385.0,10251.0,75.0,449.7,100.0,60785,136.6033220145334
440.037,2026-09-18T22:42:49.417236+00:00,GPU-00b80185-a51c-ac5b-84b1-c291bcf5025f,2385.0,10251.0,75.0,449.64,100.0,61468,136.58657028637265
445.034,2026-09-18T22:42:54.414587+00:00,GPU-00b80185-a51c-ac5b-84b1-c291bcf5025f,2385.0,10251.0,75.0,449.88,100.0,62150,136.47231141683883
450.038,2026-09-18T22:42:59.418933+00:00,GPU-00b80185-a51c-ac5b-84b1-c291bcf5025f,2385.0,10251.0,75.0,449.84,100.0,62834,136.6812256500127
455.04,2026-09-18T22:43:04.420382+00:00,GPU-00b80185-a51c-ac5b-84b1-c291bcf5025f,2385.0,10251.0,74.0,449.73,100.0,63516,136.36044728275198
460.033,2026-09-18T22:43:09.413832+00:00,GPU-00b80185-a51c-ac5b-84b1-c291bcf5025f,2370.0,10251.0,75.0,449.76,100.0,64198,136.5789334390754
465.04,2026-09-18T22:43:14.420129+00:00,GPU-00b80185-a51c-ac5b-84b1-c291bcf5025f,2370.0,10251.0,75.0,449.63,100.0,64881,136.4281728111048
470.034,2026-09-18T22:43:19.414629+00:00,GPU-00b80185-a51c-ac5b-84b1-c291bcf5025f,2370.0,10251.0,74.0,449.75,100.0,65563,136.55022040056522
475.039,2026-09-18T22:43:24.419969+00:00,GPU-00b80185-a51c-ac5b-84b1-c291bcf5025f,2385.0,10251.0,74.0,449.57,100.0,66246,136.45427063467957
480.04,2026-09-18T22:43:29.420622+00:00,GPU-00b80185-a51c-ac5b-84b1-c291bcf5025f,2385.0,10251.0,75.0,449.65,100.0,66929,136.58219415098148
485.041,2026-09-18T22:43:34.421720+00:00,GPU-00b80185-a51c-ac5b-84b1-c291bcf5025f,2385.0,10251.0,75.0,449.94,100.0,67611,136.37001637718606
490.041,2026-09-18T22:43:39.421324+00:00,GPU-00b80185-a51c-ac5b-84b1-c291bcf5025f,2385.0,10251.0,75.0,449.76,100.0,68293,136.41077807709092
495.076,2026-09-18T22:43:44.456415+00:00,GPU-00b80185-a51c-ac5b-84b1-c291bcf5025f,2370.0,10251.0,75.0,449.53,100.0,68980,136.44244773044247
500.033,2026-09-18T22:43:49.413594+00:00,GPU-00b80185-a51c-ac5b-84b1-c291bcf5025f,2370.0,10251.0,75.0,449.65,100.0,69657,136.56954841843648
505.037,2026-09-18T22:43:54.417568+00:00,GPU-00b80185-a51c-ac5b-84b1-c291bcf5025f,2385.0,10251.0,75.0,449.42,100.0,70340,136.49155662934504
510.035,2026-09-18T22:43:59.415604+00:00,GPU-00b80185-a51c-ac5b-84b1-c291bcf5025f,2385.0,10251.0,75.0,449.64,100.0,71022,136.45357545567998
515.033,2026-09-18T22:44:04.413064+00:00,GPU-00b80185-a51c-ac5b-84b1-c291bcf5025f,2370.0,10251.0,75.0,449.45,100.0,71704,136.46938805984888
520.038,2026-09-18T22:44:09.418823+00:00,GPU-00b80185-a51c-ac5b-84b1-c291bcf5025f,2370.0,10251.0,74.0,449.66,100.0,72388,136.64256945785328
525.036,2026-09-18T22:44:14.416399+00:00,GPU-00b80185-a51c-ac5b-84b1-c291bcf5025f,2385.0,10251.0,75.0,449.71,100.0,73069,136.26608133541018
530.036,2026-09-18T22:44:19.416818+00:00,GPU-00b80185-a51c-ac5b-84b1-c291bcf5025f,2385.0,10251.0,75.0,449.94,100.0,73752,136.58856959630768
535.036,2026-09-18T22:44:24.416219+00:00,GPU-00b80185-a51c-ac5b-84b1-c291bcf5025f,2370.0,10251.0,74.0,449.71,100.0,74435,136.61639668800657
540.036,2026-09-18T22:44:29.416248+00:00,GPU-00b80185-a51c-ac5b-84b1-c291bcf5025f,2370.0,10251.0,74.0,449.57,100.0,75117,136.39917398952977
545.035,2026-09-18T22:44:34.415425+00:00,GPU-00b80185-a51c-ac5b-84b1-c291bcf5025f,2340.0,10251.0,74.0,447.8,100.0,75783,133.22190347305178
550.036,2026-09-18T22:44:39.416225+00:00,GPU-00b80185-a51c-ac5b-84b1-c291bcf5025f,2370.0,10251.0,74.0,449.23,100.0,76465,136.37818237295812
555.042,2026-09-18T22:44:44.422426+00:00,GPU-00b80185-a51c-ac5b-84b1-c291bcf5025f,2370.0,10251.0,75.0,449.7,100.0,77147,136.23105844797817
560.042,2026-09-18T22:44:49.422075+00:00,GPU-00b80185-a51c-ac5b-84b1-c291bcf5025f,2385.0,10251.0,75.0,449.81,100.0,77829,136.4095616367152
565.041,2026-09-18T22:44:54.421853+00:00,GPU-00b80185-a51c-ac5b-84b1-c291bcf5025f,2385.0,10251.0,75.0,449.64,100.0,78511,136.40606205224194
570.04,2026-09-18T22:44:59.420404+00:00,GPU-00b80185-a51c-ac5b-84b1-c291bcf5025f,2385.0,10251.0,75.0,449.9,100.0,79194,136.63960762857315
575.04,2026-09-18T22:45:04.420750+00:00,GPU-00b80185-a51c-ac5b-84b1-c291bcf5025f,2385.0,10251.0,75.0,449.73,100.0,79877,136.59055593938294
580.041,2026-09-18T22:45:09.421719+00:00,GPU-00b80185-a51c-ac5b-84b1-c291bcf5025f,2385.0,10251.0,74.0,449.74,100.0,80559,136.37358562923308
585.033,2026-09-18T22:45:14.413639+00:00,GPU-00b80185-a51c-ac5b-84b1-c291bcf5025f,2370.0,10251.0,75.0,449.49,100.0,81240,136.42042954805686
590.034,2026-09-18T22:45:19.414986+00:00,GPU-00b80185-a51c-ac5b-84b1-c291bcf5025f,2385.0,10251.0,75.0,449.77,100.0,81923,136.56321460727136
595.034,2026-09-18T22:45:24.414191+00:00,GPU-00b80185-a51c-ac5b-84b1-c291bcf5025f,2385.0,10251.0,75.0,449.62,100.0,82605,136.42168798006657
600.033,2026-09-18T22:45:29.413992+00:00,GPU-00b80185-a51c-ac5b-84b1-c291bcf5025f,2370.0,10251.0,74.0,449.66,100.0,83287,136.40541159164638
605.032,2026-09-18T22:45:34.412885+00:00,GPU-00b80185-a51c-ac5b-84b1-c291bcf5025f,2370.0,10251.0,74.0,449.46,100.0,83969,136.4302375671488
610.037,2026-09-18T22:45:39.417295+00:00,GPU-00b80185-a51c-ac5b-84b1-c291bcf5025f,2370.0,10251.0,74.0,449.73,100.0,84652,136.47965670529393
615.032,2026-09-18T22:45:44.412899+00:00,GPU-00b80185-a51c-ac5b-84b1-c291bcf5025f,2385.0,10251.0,74.0,449.6,100.0,85334,136.51999478644842
620.036,2026-09-18T22:45:49.416365+00:00,GPU-00b80185-a51c-ac5b-84b1-c291bcf5025f,2370.0,10251.0,74.0,449.59,100.0,86017,136.50535793760238
625.035,2026-09-18T22:45:54.415205+00:00,GPU-00b80185-a51c-ac5b-84b1-c291bcf5025f,2370.0,10251.0,74.0,449.86,100.0,86699,136.43166260251456
630.034,2026-09-18T22:45:59.414124+00:00,GPU-00b80185-a51c-ac5b-84b1-c291bcf5025f,2370.0,10251.0,74.0,449.64,100.0,87382,136.62951296299565
635.035,2026-09-18T22:46:04.415464+00:00,GPU-00b80185-a51c-ac5b-84b1-c291bcf5025f,2385.0,10251.0,74.0,449.7,100.0,88064,136.36348298452182
640.034,2026-09-18T22:46:09.415001+00:00,GPU-00b80185-a51c-ac5b-84b1-c291bcf5025f,2370.0,10251.0,74.0,449.54,100.0,88747,136.61265708888644
645.035,2026-09-18T22:46:14.415401+00:00,GPU-00b80185-a51c-ac5b-84b1-c291bcf5025f,2370.0,10251.0,74.0,449.39,100.0,89429,136.38911307452742
650.036,2026-09-18T22:46:19.416156+00:00,GPU-00b80185-a51c-ac5b-84b1-c291bcf5025f,2370.0,10251.0,74.0,449.69,100.0,90112,136.57932246452214
655.039,2026-09-18T22:46:24.419470+00:00,GPU-00b80185-a51c-ac5b-84b1-c291bcf5025f,2370.0,10251.0,74.0,449.53,100.0,90795,136.50954701112428
660.036,2026-09-18T22:46:29.416932+00:00,GPU-00b80185-a51c-ac5b-84b1-c291bcf5025f,2385.0,10251.0,74.0,449.74,100.0,91477,136.4692448250858
665.035,2026-09-18T22:46:34.415099+00:00,GPU-00b80185-a51c-ac5b-84b1-c291bcf5025f,2385.0,10251.0,74.0,449.54,100.0,92159,136.45004106835637
670.038,2026-09-18T22:46:39.418093+00:00,GPU-00b80185-a51c-ac5b-84b1-c291bcf5025f,2370.0,10251.0,74.0,450.0,100.0,92843,136.71813152810432
675.038,2026-09-18T22:46:44.418455+00:00,GPU-00b80185-a51c-ac5b-84b1-c291bcf5025f,2370.0,10251.0,74.0,449.54,100.0,93526,136.59013261552275
680.039,2026-09-18T22:46:49.419316+00:00,GPU-00b80185-a51c-ac5b-84b1-c291bcf5025f,2385.0,10251.0,74.0,449.67,100.0,94209,136.5764378761179
685.04,2026-09-18T22:46:54.420760+00:00,GPU-00b80185-a51c-ac5b-84b1-c291bcf5025f,2385.0,10251.0,74.0,449.54,100.0,94893,136.76052687315163
690.04,2026-09-18T22:46:59.420988+00:00,GPU-00b80185-a51c-ac5b-84b1-c291bcf5025f,2370.0,10251.0,74.0,449.61,100.0,95576,136.59379282548127
695.04,2026-09-18T22:47:04.420568+00:00,GPU-00b80185-a51c-ac5b-84b1-c291bcf5025f,2385.0,10251.0,74.0,449.56,100.0,96259,136.6114779197738
700.039,2026-09-18T22:47:09.419769+00:00,GPU-00b80185-a51c-ac5b-84b1-c291bcf5025f,2385.0,10251.0,74.0,449.89,100.0,96942,136.62177842165298
705.041,2026-09-18T22:47:14.421543+00:00,GPU-00b80185-a51c-ac5b-84b1-c291bcf5025f,2385.0,10251.0,74.0,449.77,100.0,97626,136.75151769952316
710.041,2026-09-18T22:47:19.421331+00:00,GPU-00b80185-a51c-ac5b-84b1-c291bcf5025f,2385.0,10251.0,73.0,449.52,100.0,98310,136.8057927867887
715.04,2026-09-18T22:47:24.420803+00:00,GPU-00b80185-a51c-ac5b-84b1-c291bcf5025f,2370.0,10251.0,74.0,449.56,100.0,98994,136.81446331334905
720.049,2026-09-18T22:47:29.429446+00:00,GPU-00b80185-a51c-ac5b-84b1-c291bcf5025f,2370.0,10251.0,74.0,449.57,100.0,99679,136.7635798425659
725.04,2026-09-18T22:47:34.420528+00:00,GPU-00b80185-a51c-ac5b-84b1-c291bcf5025f,2385.0,10251.0,74.0,449.77,100.0,100362,136.84408945341988
730.033,2026-09-18T22:47:39.413581+00:00,GPU-00b80185-a51c-ac5b-84b1-c291bcf5025f,2385.0,10251.0,73.0,449.73,100.0,101045,136.79003108814823
735.039,2026-09-18T22:47:44.419481+00:00,GPU-00b80185-a51c-ac5b-84b1-c291bcf5025f,2370.0,10251.0,74.0,449.61,100.0,101730,136.83854613373123
740.044,2026-09-18T22:47:49.424177+00:00,GPU-00b80185-a51c-ac5b-84b1-c291bcf5025f,2385.0,10251.0,74.0,449.59,100.0,102414,136.67162140512184
745.035,2026-09-18T22:47:54.415954+00:00,GPU-00b80185-a51c-ac5b-84b1-c291bcf5025f,2385.0,10251.0,74.0,449.71,100.0,103098,137.02534690806925
750.039,2026-09-18T22:47:59.419423+00:00,GPU-00b80185-a51c-ac5b-84b1-c291bcf5025f,2385.0,10251.0,74.0,449.63,100.0,103782,136.7051542284954
755.033,2026-09-18T22:48:04.413944+00:00,GPU-00b80185-a51c-ac5b-84b1-c291bcf5025f,2385.0,10251.0,74.0,449.92,100.0,104465,136.7498857915308
760.035,2026-09-18T22:48:09.415422+00:00,GPU-00b80185-a51c-ac5b-84b1-c291bcf5025f,2385.0,10251.0,74.0,449.67,100.0,105148,136.55964066253537
765.034,2026-09-18T22:48:14.414747+00:00,GPU-00b80185-a51c-ac5b-84b1-c291bcf5025f,2385.0,10251.0,74.0,449.73,100.0,105831,136.6183903558719
770.034,2026-09-18T22:48:19.414739+00:00,GPU-00b80185-a51c-ac5b-84b1-c291bcf5025f,2385.0,10251.0,74.0,449.55,100.0,106514,136.60022797622582
775.034,2026-09-18T22:48:24.414473+00:00,GPU-00b80185-a51c-ac5b-84b1-c291bcf5025f,2385.0,10251.0,73.0,449.83,100.0,107198,136.80729325074455
780.032,2026-09-18T22:48:29.412560+00:00,GPU-00b80185-a51c-ac5b-84b1-c291bcf5025f,2385.0,10251.0,74.0,449.61,100.0,107881,136.6522981331261
